Periodo,M0,M2 ,M3,M4
01/04/2005,276874469.9,2476323493,2675178735,2793418060
01/05/2005,278015061.2,2461296990,2670568899,2789241738
01/06/2005,280410187.8,2510152999,2719219807,2844573683
01/07/2005,283271832.7,2530217233,2751182872,2879277886
01/08/2005,274719290.7,2548081745,2750822939,2882813120
01/09/2005,282318750.2,2583841433,2805962562,2936753831
01/10/2005,285511997,2646976727,2867792326,2999144845
01/11/2005,290355447.3,2686753941,2895934010,3029507653
01/12/2005,336073254.3,2847571536,3033053549,3169019576
01/01/2006,318653696.1,2844250762,2993440327,3135131561
01/02/2006,312792725,2877334284,3044877557,3198706257
01/03/2006,318642681,2980422004,3163871164,3329175586
01/04/2006,318855199.4,3048483722,3236141219,3417691290
01/05/2006,322666481.7,3033323264,3243798943,3419337179
01/06/2006,332355752.9,3072939063,3306298184,3485925940
01/07/2006,332296189.5,3008830705,3252418723,3409114594
01/08/2006,323269985.5,2985924210,3248576820,3393810226
01/09/2006,329907360.8,2996147269,3269032822,3422090961
01/10/2006,327995456.7,3001393662,3241585282,3401378027
01/11/2006,347357948.7,3029332577,3306558213,3478285175
01/12/2006,389471396.2,3203214575,3499687088,3676037795
01/01/2007,366744139.5,3157546039,3394840359,3575554047
01/02/2007,359358747,3182388232,3402686408,3583742507
01/03/2007,367282511.6,3208342307,3467830071,3659995688
01/04/2007,359960622,3168402699,3405540200,3595898097
01/05/2007,359993937.3,3202547655,3465365921,3668240254
01/06/2007,366151931.7,3257091854,3484102396,3677291711
01/07/2007,366749095.3,3244411352,3468044296,3676038655
01/08/2007,367954618.2,3321093759,3606460805,3816403710
01/09/2007,367299957.2,3330380293,3589926854,3816091600
01/10/2007,364920297.4,3364182525,3622357545,3853925366
01/11/2007,382319560.5,3425921998,3685052187,3938412800
01/12/2007,429979589.9,3559334856,3808118453,4069571448
01/01/2008,405979634.2,3559901990,3819358984,4117810680
01/02/2008,403392949.4,3553857620,3810129333,4124363966
01/03/2008,397941337.4,3541257666,3800261651,4119809822
01/04/2008,393084215.2,3568563980,3861196063,4185379739
01/05/2008,399608153,3645158792,3931750257,4251449779
01/06/2008,395448496.4,3649332257,3914688441,4230063521
01/07/2008,403494699.4,3665262001,3985901797,4336440512
01/08/2008,404437961.7,3625451382,3931097436,4306927606
01/09/2008,403569205.8,3652276006,3940307284,4315010323
01/10/2008,423880790.7,3773233845,4020882625,4351414093
01/11/2008,436038650.3,3805039177,4085021645,4399287112
01/12/2008,494352262.8,3972390752,4340072177,4660481303
01/01/2009,479699526.6,3983477996,4371261026,4692168643
01/02/2009,475258808.3,3987232481,4429589278,4727573822
01/03/2009,471454247.7,3974376380,4394317694,4696226674
01/04/2009,470514879.2,3969889246,4404234909,4707236532
