"Anio","Trimestre","Empresa","NombreCorto","NombreLargo","SIC","NAICS","Activos","Inventarios","PasivoCirc","PasivoLP","PPE","CPP","Efectivo","GC","CBV","UOAD","Ventas","IGR","Deuda","CPC","GO","GVGA","Precio_Accion","mkt_capital","No_Acciones"
2012,3,"GRUPO AZUCARERO MEXICO S.A.B DE C.V.","AZUCARERO","GPO. AZUCARERO MEX.",2060,311314,2584.992,0,24.466,0.206,0,15.867,1.987,0,0,0,0,0,0,70.2959976196289,0,0,NA,NA,NA
2007,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,3143.215,388.492,503.406,226.041,1274.405,229.667,43.851,NA,NA,NA,NA,NA,226.041000366211,440.608978271484,NA,NA,4669.112,4455.5772,0.954266507207366
2007,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,3412.596,474.425,698.132,204.496,1354.735,293.919,26.398,NA,706.762023925781,72.5830001831055,1117.92199707031,11.3269996643066,204.496002197266,545.281005859375,1045.33898925781,338.576965332031,2085.0755,4397.037,2.10881428514219
2007,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,3610.777,407.473,824.906,182.952,1427.711,326.099,51.444,NA,792.288024902344,83.1230010986328,1204.18798828125,-4.28700017929077,182.951995849609,653.963012695312,1121.06494140625,328.776916503906,756.2418,4420.4414,5.84527514876855
2008,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,3617.645,440.341,799.217,161.407,1477.793,248.566,48.926,NA,690.536987304688,70.265998840332,1073.49499511719,12.8450002670288,161.406997680664,580.398010253906,1003.22900390625,312.692016601562,814.033,4527.8827,5.56228396146102
2008,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,3768.062,469.033,888.877,142.487,1559.04,272.309,56.124,NA,740.681030273438,88.6849975585938,1164.09301757812,12.2449998855591,142.486999511719,607.85400390625,1075.40795898438,334.726928710938,11009.0616,4521.8391,0.41073792338486
2008,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,3864.607,486.959,948.267,124.879,1630.99,254.236,30.574,NA,742.905029296875,99.1039962768555,1175.10595703125,14.2299995422363,124.878997802734,637.200012207031,1076.001953125,333.096923828125,5347.3363,4499.95,0.841531137661942
2008,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4127.84,507.313,1047.293,301.117,1737.758,467.222,117.04,NA,892.380981445312,115.125999450684,1363.22595214844,16.7129993438721,301.117004394531,696.664978027344,1248.09997558594,355.718994140625,2773.376,4505.1291,1.62442059785619
2009,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4013.538,527.48,955.431,279.435,1771.849,392.17,42,50.7789993286133,845.505004882812,74.1839981079102,1261.07299804688,16.5739994049072,279.434997558594,608.033996582031,1186.88903808594,341.384033203125,3692.9747,4440.4229,1.20239732484493
2009,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,3993.027,381.61,878.331,259.464,1756.003,280.152,89.706,NA,857.169982910156,66.7789993286133,1274.90100097656,17.0109996795654,259.463989257812,654.545043945312,1208.12194824219,350.951965332031,1043.6321,4224.569,4.04794850599172
2009,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4099.235,345.095,929.394,236.158,1715.527,308.799,186.054,NA,846.013000488281,96.927001953125,1295.75500488281,11.4530000686646,236.158004760742,705.880004882812,1198.82800292969,352.815002441406,10923.8913,4162.8965,0.381081831160294
2009,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,3962.167,315.58,752.311,224.5,1601.751,367.751,105.557,NA,939.492004394531,66.8199996948242,1399.27197265625,-3.20499992370605,224.5,667.611999511719,1332.45202636719,392.960021972656,5340.6013,4409.5866,0.825672307723102
2010,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4066.655,361.378,791.478,217.5,1645.209,324.512,141.494,91.8980026245117,894.544006347656,96.7099990844727,1376.74597167969,10.039999961853,217.5,639.760986328125,1280.03601074219,385.492004394531,5644.136,4383.236,0.776599996881719
